nt; random_gen; put_to_buckets; sort_buckets; bucket_offsets; write_to_array
1; 0.047393; 0.411772; 0.017468; 0.005518; 0.011513
2; 0.021930; 0.210406; 0.008720; 0.004410; 0.007114
3; 0.014597; 0.151936; 0.006336; 0.001757; 0.005591
4; 0.011019; 0.119392; 0.005161; 0.001468; 0.005079
5; 0.011937; 0.112076; 0.005859; 0.001820; 0.005847
6; 0.010081; 0.102647; 0.005490; 0.001726; 0.005367
7; 0.008714; 0.086066; 0.004909; 0.001831; 0.005268
8; 0.007800; 0.082323; 0.004365; 0.001868; 0.004480
1; 0.046138; 0.424289; 0.017772; 0.005858; 0.011837
2; 0.021742; 0.215974; 0.009082; 0.004445; 0.007200
3; 0.014610; 0.154385; 0.006472; 0.001772; 0.006024
4; 0.014768; 0.119645; 0.005213; 0.001490; 0.005050
5; 0.012041; 0.117331; 0.005918; 0.002053; 0.005921
6; 0.010135; 0.097202; 0.005523; 0.001754; 0.005464
7; 0.008758; 0.091869; 0.005773; 0.001898; 0.005335
8; 0.007882; 0.079800; 0.004470; 0.001825; 0.004565
1; 0.047927; 0.423554; 0.017571; 0.005832; 0.011677
2; 0.021720; 0.210969; 0.010333; 0.004409; 0.007879
3; 0.015035; 0.149664; 0.007140; 0.001711; 0.006447
4; 0.011186; 0.120058; 0.005173; 0.001468; 0.005001
5; 0.012146; 0.113580; 0.005770; 0.001776; 0.005625
6; 0.010093; 0.097749; 0.005157; 0.001823; 0.005908
7; 0.008710; 0.091449; 0.005006; 0.001836; 0.005422
8; 0.008235; 0.080789; 0.004372; 0.002083; 0.004412
1; 0.048472; 0.423005; 0.017686; 0.005832; 0.011616
2; 0.021252; 0.212958; 0.008725; 0.004683; 0.007161
3; 0.014572; 0.151772; 0.006371; 0.001785; 0.005734
4; 0.011125; 0.122099; 0.005200; 0.001573; 0.005001
5; 0.012102; 0.113609; 0.006147; 0.001854; 0.005556
6; 0.010456; 0.100533; 0.005558; 0.001721; 0.005328
7; 0.008814; 0.091805; 0.004940; 0.001918; 0.005760
8; 0.008042; 0.085932; 0.004408; 0.001976; 0.004838
1; 0.048064; 0.423000; 0.017441; 0.005719; 0.011330
2; 0.021514; 0.213188; 0.008875; 0.004454; 0.007094
3; 0.014619; 0.151959; 0.006349; 0.001821; 0.005622
4; 0.011179; 0.124303; 0.005186; 0.001519; 0.005146
5; 0.012592; 0.122761; 0.006249; 0.001856; 0.005809
6; 0.010120; 0.104417; 0.005049; 0.001966; 0.004799
7; 0.008793; 0.086165; 0.004941; 0.001904; 0.005318
8; 0.007874; 0.086175; 0.004413; 0.001836; 0.004566
1; 0.047397; 0.424435; 0.017487; 0.006088; 0.011734
2; 0.021721; 0.209333; 0.009062; 0.004608; 0.007074
3; 0.015574; 0.158762; 0.007659; 0.001831; 0.006050
4; 0.011032; 0.121150; 0.005135; 0.001535; 0.004997
5; 0.012165; 0.112919; 0.005806; 0.001777; 0.006103
6; 0.010198; 0.103506; 0.005402; 0.001729; 0.005370
7; 0.008801; 0.089991; 0.004870; 0.001870; 0.005213
8; 0.007643; 0.081097; 0.004395; 0.001992; 0.005281
1; 0.045732; 0.410238; 0.016706; 0.005661; 0.011396
2; 0.020737; 0.211217; 0.008489; 0.004449; 0.006804
3; 0.015305; 0.159078; 0.007842; 0.001886; 0.007222
4; 0.011060; 0.121599; 0.005166; 0.001510; 0.004994
5; 0.012121; 0.112958; 0.005829; 0.001781; 0.005592
6; 0.010231; 0.104517; 0.005552; 0.001732; 0.005333
7; 0.009093; 0.091849; 0.004859; 0.001966; 0.005309
8; 0.008953; 0.085835; 0.005623; 0.002444; 0.005824
1; 0.046133; 0.410004; 0.016777; 0.005715; 0.011692
2; 0.037325; 0.223869; 0.008844; 0.004754; 0.007324
3; 0.014886; 0.163544; 0.006547; 0.001735; 0.005631
4; 0.027694; 0.120446; 0.005155; 0.001520; 0.005001
5; 0.012093; 0.113601; 0.005763; 0.001755; 0.005967
6; 0.010100; 0.103901; 0.005441; 0.001728; 0.005362
7; 0.008770; 0.090618; 0.004889; 0.001862; 0.005242
8; 0.021929; 0.133024; 0.006146; 0.001867; 0.008421
1; 0.052221; 0.479986; 0.019862; 0.006301; 0.012964
2; 0.029955; 0.215182; 0.008796; 0.004662; 0.007033
3; 0.014595; 0.155289; 0.007933; 0.001801; 0.006386
4; 0.011038; 0.117491; 0.005130; 0.001539; 0.004984
5; 0.012122; 0.121161; 0.006224; 0.001829; 0.006232
6; 0.010222; 0.102924; 0.005183; 0.001698; 0.006075
7; 0.008676; 0.085522; 0.004857; 0.001837; 0.005244
8; 0.007738; 0.087356; 0.005539; 0.002609; 0.005484
1; 0.050404; 0.416050; 0.017654; 0.005759; 0.011350
2; 0.020504; 0.201466; 0.008845; 0.004635; 0.006914
3; 0.014610; 0.149498; 0.006329; 0.001885; 0.006140
4; 0.011294; 0.120037; 0.005243; 0.001510; 0.005139
5; 0.012065; 0.120464; 0.006024; 0.001812; 0.005683
6; 0.010169; 0.103627; 0.005462; 0.001707; 0.005555
7; 0.009213; 0.096439; 0.005967; 0.001770; 0.005402
8; 0.008828; 0.083172; 0.006250; 0.001832; 0.005159
